ANO;TIPO_INSTITUICAO;QUANT_INSTITUICAO;INTERNET;WIFI;INTERNET_ALUNOS;INTERNET_ADM;INTERNET_ENSINO;LOUSA_DIGITAL;PROJETOR;DESKTOP_ALUNOS;NOTEBOOK_ALUNOS;TABLET_ALUNOS
2020;FEDERAL;46;46;46;41;46;39;25;44;42;26;17
2020;ESTADUAL;22005;20267;16438;13489;19981;15734;5941;17230;16878;7240;2641
2020;MUNICIPAL;78046;50496;40584;18575;48076;26302;7727;42457;29892;18575;4683
2020;PRIVADO;24743;24149;21873;12273;23184;16157;3514;17716;16207;11530;6384
2021;FEDERAL;47;47;47;42;47;42;26;45;45;30;16
2021;ESTADUAL;21648;19916;16747;14114;19656;16041;6451;17124;16647;8161;2728
2021;MUNICIPAL;77250;53921;43569;21476;51217;30746;8343;42797;30282;19931;5099
2021;PRIVADO;24640;24246;22053;13084;23383;17396;3819;18061;16484;12419;6579
2022;FEDERAL;47;47;47;44;47;42;26;46;46;28;16
2022;ESTADUAL;21320;19764;17056;14775;19508;16416;5820;16502;16267;11321;3560
2022;MUNICIPAL;76419;59683;49061;24913;56397;37063;8635;42718;30109;23079;7871
2022;PRIVADO;24683;24362;22906;13452;23622;17945;3752;17994;16488;13156;6763
2023;FEDERAL;47;47;47;43;47;42;25;46;43;25;15
2023;ESTADUAL;21320;20126;17333;15905;19892;16864;6055;16544;16523;13090;5543
2023;MUNICIPAL;76419;64116;52882;28046;60677;42489;9552;44934;30262;26594;10928
2023;PRIVADO;24683;24411;22931;13674;23745;18389;3776;18093;16241;13699;6788
