REGIÃO;ESTADO;ANO;TIPO_INSTITUICAO;QUANT_INSTITUICAO;INTERNET;WIFI;INTERNET_ALUNOS;INTERNET_ADM;INTERNET_ENSINO;LOUSA_DIGITAL;PROJETOR;DESKTOP_ALUNOS;NOTEBOOK_ALUNOS;TABLET_ALUNOS
SUDESTE;SÃO PAULO;2020;FEDERAL;26;26;22;25;26;24;6;17;16;11;3
SUDESTE;SÃO PAULO;2020;ESTADUAL;1087;966;849;597;944;655;107;298;260;112;70
SUDESTE;SÃO PAULO;2020;MUNICIPAL;6372;3092;281;590;2842;1381;494;3039;4862;1359;482
SUDESTE;SÃO PAULO;2020;PRIVADO;3527;2146;540;743;2033;1118;610;1465;1923;745;326
SUDESTE;SÃO PAULO;2021;FEDERAL;27;27;25;26;26;25;6;19;21;11;5
SUDESTE;SÃO PAULO;2021;ESTADUAL;1123;1021;891;738;973;733;110;306;288;121;136
SUDESTE;SÃO PAULO;2021;MUNICIPAL;6441;3972;476;683;3477;1582;415;3065;4876;1654;511
SUDESTE;SÃO PAULO;2021;PRIVADO;3632;2543;1032;872;1156;1264;672;1872;2101;782;341
SUDESTE;SÃO PAULO;2022;FEDERAL;27;26;23;26;26;26;7;19;22;11;5
SUDESTE;SÃO PAULO;2022;ESTADUAL;1123;1021;891;738;973;733;110;306;288;121;136
SUDESTE;SÃO PAULO;2022;MUNICIPAL;6441;3972;476;683;3477;1582;415;3065;4876;1654;511
SUDESTE;SÃO PAULO;2022;PRIVADO;3632;2543;1032;872;1156;1264;672;1872;2101;782;341
SUDESTE;SÃO PAULO;2023;FEDERAL;1123;1021;891;738;973;733;110;306;288;121;136
SUDESTE;SÃO PAULO;2023;ESTADUAL;6441;3972;476;683;3477;1582;415;3065;4876;1654;511
SUDESTE;SÃO PAULO;2023;MUNICIPAL;3632;2543;1032;872;1156;1264;672;1872;2101;782;341
SUDESTE;SÃO PAULO;2023;PRIVADO;26;26;19;23;26;22;4;21;18;10;2
SUDESTE;RIO DE JANEIRO;2020;FEDERAL;26;26;19;23;26;22;4;21;18;10;2
SUDESTE;RIO DE JANEIRO;2020;ESTADUAL;705;615;69;440;613;467;4;119;89;41;19
SUDESTE;RIO DE JANEIRO;2020;MUNICIPAL;4054;2074;312;564;1933;751;339;1845;1005;819;701
SUDESTE;RIO DE JANEIRO;2020;PRIVADO;989;851;186;223;819;352;127;558;443;268;86
SUDESTE;RIO DE JANEIRO;2021;FEDERAL;26;26;19;23;26;22;4;21;18;10;2
SUDESTE;RIO DE JANEIRO;2021;ESTADUAL;705;615;69;440;613;467;4;119;89;41;19
SUDESTE;RIO DE JANEIRO;2021;MUNICIPAL;4054;2074;312;564;1933;751;339;1845;1005;819;701
SUDESTE;RIO DE JANEIRO;2021;PRIVADO;989;851;186;223;819;352;127;558;443;268;86
SUDESTE;RIO DE JANEIRO;2022;FEDERAL;26;26;19;23;26;22;4;21;18;10;2
SUDESTE;RIO DE JANEIRO;2022;ESTADUAL;705;615;69;440;613;467;4;119;89;41;19
SUDESTE;RIO DE JANEIRO;2022;MUNICIPAL;4054;2074;312;564;1933;751;339;1845;1005;819;701
SUDESTE;RIO DE JANEIRO;2022;PRIVADO;989;851;186;223;819;352;127;558;443;268;86
SUDESTE;RIO DE JANEIRO;2023;FEDERAL;26;26;19;23;26;22;4;21;18;10;2
SUDESTE;RIO DE JANEIRO;2023;ESTADUAL;705;615;69;440;613;467;4;119;89;41;19
SUDESTE;RIO DE JANEIRO;2023;MUNICIPAL;4054;2074;312;564;1933;751;339;1845;1005;819;701
SUDESTE;RIO DE JANEIRO;2023;PRIVADO;989;851;186;223;819;352;127;558;443;268;86
SUDESTE;MINAS GERAIS;2020;FEDERAL;29;26;24;25;26;24;6;25;20;11;3
SUDESTE;MINAS GERAIS;2020;ESTADUAL;820;556;170;264;545;379;10;213;125;50;16
SUDESTE;MINAS GERAIS;2020;MUNICIPAL;3513;1642;225;400;1522;660;286;1606;812;580;288
SUDESTE;MINAS GERAIS;2020;PRIVADO;957;618;195;270;589;364;87;503;470;300;118
SUDESTE;MINAS GERAIS;2021;FEDERAL;34;34;31;34;34;31;3;23;19;11;3
SUDESTE;MINAS GERAIS;2021;ESTADUAL;8492;719;334;678;714;680;11;319;229;174;129
SUDESTE;MINAS GERAIS;2021;MUNICIPAL;7864;4281;631;1195;4013;2011;335;3023;2779;1683;382
SUDESTE;MINAS GERAIS;2021;PRIVADO;2171;1546;365;639;1459;798;152;1255;900;693;388
SUDESTE;MINAS GERAIS;2022;FEDERAL;34;34;31;34;34;31;3;23;19;11;3
SUDESTE;MINAS GERAIS;2022;ESTADUAL;8492;719;334;678;714;680;11;319;229;174;129
SUDESTE;MINAS GERAIS;2022;MUNICIPAL;7864;4281;631;1195;4013;2011;335;3023;2779;1683;382
SUDESTE;MINAS GERAIS;2022;PRIVADO;2171;1546;365;639;1459;798;152;1255;900;693;388
SUDESTE;MINAS GERAIS;2023;FEDERAL;34;34;31;34;34;31;3;23;19;11;3
SUDESTE;MINAS GERAIS;2023;ESTADUAL;8492;719;334;678;714;680;11;319;229;174;129
SUDESTE;MINAS GERAIS;2023;MUNICIPAL;7864;4281;631;1195;4013;2011;335;3023;2779;1683;382
SUDESTE;MINAS GERAIS;2023;PRIVADO;2171;1546;365;639;1459;798;152;1255;900;693;388
SUDESTE;ESPÍRITO SANTO;2020;FEDERAL;34;34;31;34;34;31;3;23;19;11;3
SUDESTE;ESPÍRITO SANTO;2020;ESTADUAL;8492;719;334;678;714;680;11;319;229;174;129
SUDESTE;ESPÍRITO SANTO;2020;MUNICIPAL;7864;4281;631;1195;4013;2011;335;3023;2779;1683;382
SUDESTE;ESPÍRITO SANTO;2020;PRIVADO;2171;1546;365;639;1459;798;152;1255;900;693;388
SUDESTE;ESPÍRITO SANTO;2021;FEDERAL;34;34;31;34;34;31;3;23;19;11;3
SUDESTE;ESPÍRITO SANTO;2021;ESTADUAL;8492;719;334;678;714;680;11;319;229;174;129
SUDESTE;ESPÍRITO SANTO;2021;MUNICIPAL;7864;4281;631;1195;4013;2011;335;3023;2779;1683;382
SUDESTE;ESPÍRITO SANTO;2021;PRIVADO;2171;1546;365;639;1459;798;152;1255;900;693;388
SUDESTE;ESPÍRITO SANTO;2022;FEDERAL;27;26;23;26;26;26;7;19;22;11;5
SUDESTE;ESPÍRITO SANTO;2022;ESTADUAL;1123;1021;891;738;973;733;110;306;288;121;136
SUDESTE;ESPÍRITO SANTO;2022;MUNICIPAL;6441;3972;476;683;3477;1582;415;3065;4876;1654;511
SUDESTE;ESPÍRITO SANTO;2022;PRIVADO;3632;2543;1032;872;1156;1264;672;1872;2101;782;341
SUDESTE;ESPÍRITO SANTO;2023;FEDERAL;27;26;23;26;26;26;7;19;22;11;5
SUDESTE;ESPÍRITO SANTO;2023;ESTADUAL;1123;1021;891;738;973;733;110;306;288;121;136
SUDESTE;ESPÍRITO SANTO;2023;MUNICIPAL;6441;3972;476;683;3477;1582;415;3065;4876;1654;511
SUDESTE;ESPÍRITO SANTO;2023;PRIVADO;3632;2543;1032;872;1156;1264;672;1872;2101;782;341
